chunk_id,text,chunk_length,token_count,meta_db_type,meta_database_server_name,meta_source_system_database_name,meta_schema_name,meta_source_table,meta_pk_column_name,meta_pk_data_type,meta_watermark_column_name,meta_watermark_data_type,meta_is_watermark_null,meta_table_size,meta_extraction_type_rules,meta_extraction_mode
dataglossary_row_0_chunk_0,db_type postgres database_server_name mysiloam source_system_database_name calenders schema_name public source_table th_appointments pk_column_name id pk_data_type uuid watermark_column_name modified_date watermark_data_type datetime is_watermark_null no extraction_type_rules incremental with watermark datetime,312,78,postgres,mysiloam,calenders,public,th_appointments,id,uuid,modified_date,datetime,No,65631.0,incremental with watermark datetime,
dataglossary_row_1_chunk_0,db_type sql server database_server_name emr source_system_database_name content_management schema_name dbo source_table notification_category pk_column_name notificatoncategory_id pk_data_type uniqueidentifier watermark_column_name modified_date watermark_data_type datetime is_watermark_null no extraction_mode full extraction_type_rules incremental with watermark datetime,374,93,SQL Server,EMR,CONTENT_MANAGEMENT,dbo,Notification_Category,NotificatonCategory_Id,uniqueidentifier,Modified_Date,datetime,No,2.0,incremental with watermark datetime,Full
dataglossary_row_2_chunk_0,db_type sql server database_server_name emr source_system_database_name content_management schema_name dbo source_table notification_post pk_column_name notificationpost_id pk_data_type uniqueidentifier watermark_column_name modified_date watermark_data_type datetime is_watermark_null no extraction_type_rules incremental with watermark datetime,346,86,SQL Server,EMR,CONTENT_MANAGEMENT,dbo,Notification_Post,NotificationPost_Id,uniqueidentifier,Modified_Date,datetime,No,18.0,incremental with watermark datetime,
dataglossary_row_3_chunk_0,db_type sql server database_server_name emr source_system_database_name content_management schema_name dbo source_table notification_user pk_column_name notificationuser_id pk_data_type uniqueidentifier watermark_column_name modified_date watermark_data_type datetime is_watermark_null no extraction_type_rules incremental with watermark datetime,346,86,SQL Server,EMR,CONTENT_MANAGEMENT,dbo,Notification_User,NotificationUser_Id,uniqueidentifier,Modified_Date,datetime,No,80991.0,incremental with watermark datetime,
dataglossary_row_4_chunk_0,db_type sql server database_server_name emr source_system_database_name emr_amnt schema_name dbo source_table inhouse_mcu is_watermark_null no extraction_type_rules possible full load,183,45,SQL Server,EMR,EMR_AMNT,dbo,Inhouse_MCU,,,,,No,5040.0,possible full load,
dataglossary_row_5_chunk_0,db_type sql server database_server_name emr source_system_database_name emr_amnt schema_name dbo source_table inpatient_amnt pk_column_name inpatient_amnt_id pk_data_type integer is_watermark_null no extraction_type_rules incremental with watermark primarykey integer,267,66,SQL Server,EMR,EMR_AMNT,dbo,Inpatient_AMNT,Inpatient_AMNT_id,integer,,,No,634.0,incremental with watermark primarykey integer,
dataglossary_row_6_chunk_0,db_type sql server database_server_name emr source_system_database_name emr_amnt schema_name dbo source_table kunjungan_klinik_inpatient is_watermark_null no extraction_type_rules possible full load,198,49,SQL Server,EMR,EMR_AMNT,dbo,Kunjungan_Klinik_Inpatient,,,,,No,18.0,possible full load,
dataglossary_row_7_chunk_0,db_type sql server database_server_name emr source_system_database_name emr_amnt schema_name dbo source_table kunjungan_klinik_mcu_mc is_watermark_null no extraction_type_rules possible full load,195,48,SQL Server,EMR,EMR_AMNT,dbo,Kunjungan_Klinik_MCU_MC,,,,,No,65.0,possible full load,
dataglossary_row_8_chunk_0,db_type sql server database_server_name emr source_system_database_name emr_amnt schema_name dbo source_table kunjungan_pasien_inpatient is_watermark_null no extraction_type_rules possible full load,198,49,SQL Server,EMR,EMR_AMNT,dbo,Kunjungan_Pasien_Inpatient,,,,,No,316.0,possible full load,
dataglossary_row_9_chunk_0,db_type sql server database_server_name emr source_system_database_name emr_amnt schema_name dbo source_table kunjungan_pasien_mcu_mc is_watermark_null no extraction_type_rules possible full load,195,48,SQL Server,EMR,EMR_AMNT,dbo,Kunjungan_Pasien_MCU_MC,,,,,No,11681.0,possible full load,
dataglossary_row_10_chunk_0,db_type sql server database_server_name emr source_system_database_name emr_amnt schema_name dbo source_table kunjungan_perusahaan_inpatient is_watermark_null no extraction_type_rules possible full load,202,50,SQL Server,EMR,EMR_AMNT,dbo,Kunjungan_Perusahaan_Inpatient,,,,,No,147.0,possible full load,
dataglossary_row_11_chunk_0,db_type sql server database_server_name emr source_system_database_name emr_amnt schema_name dbo source_table kunjungan_perusahaan_mcu_mc is_watermark_null no extraction_type_rules possible full load,199,49,SQL Server,EMR,EMR_AMNT,dbo,Kunjungan_Perusahaan_MCU_MC,,,,,No,1171.0,possible full load,
dataglossary_row_12_chunk_0,db_type sql server database_server_name emr source_system_database_name emr_amnt schema_name dbo source_table laporan_all_kunjungan_registrasi is_watermark_null no extraction_type_rules possible full load,204,51,SQL Server,EMR,EMR_AMNT,dbo,Laporan_All_Kunjungan_Registrasi,,,,,No,13103.0,possible full load,
dataglossary_row_13_chunk_0,db_type sql server database_server_name emr source_system_database_name emr_amnt schema_name dbo source_table laporan_evaluasi_harian is_watermark_null no extraction_type_rules possible full load,195,48,SQL Server,EMR,EMR_AMNT,dbo,Laporan_Evaluasi_Harian,,,,,No,275.0,possible full load,
dataglossary_row_14_chunk_0,db_type sql server database_server_name emr source_system_database_name emr_amnt schema_name dbo source_table laporan_kunjungan_registrasi_bbc is_watermark_null no extraction_type_rules possible full load,204,51,SQL Server,EMR,EMR_AMNT,dbo,Laporan_Kunjungan_Registrasi_BBC,,,,,No,13103.0,possible full load,
dataglossary_row_15_chunk_0,db_type sql server database_server_name emr source_system_database_name emr_amnt schema_name dbo source_table laporan_pemeriksaan_aha is_watermark_null no extraction_type_rules possible full load,195,48,SQL Server,EMR,EMR_AMNT,dbo,Laporan_Pemeriksaan_Aha,,,,,No,269.0,possible full load,
dataglossary_row_16_chunk_0,db_type sql server database_server_name emr source_system_database_name emr_amnt schema_name dbo source_table laporan_pemeriksaan_audiometri is_watermark_null no extraction_type_rules possible full load,202,50,SQL Server,EMR,EMR_AMNT,dbo,Laporan_Pemeriksaan_Audiometri,,,,,No,5144.0,possible full load,
dataglossary_row_17_chunk_0,db_type sql server database_server_name emr source_system_database_name emr_amnt schema_name dbo source_table laporan_pemeriksaan_fisik is_watermark_null no extraction_type_rules possible full load,197,49,SQL Server,EMR,EMR_AMNT,dbo,Laporan_Pemeriksaan_Fisik,,,,,No,5519.0,possible full load,
dataglossary_row_18_chunk_0,db_type sql server database_server_name emr source_system_database_name emr_amnt schema_name dbo source_table laporan_pemeriksaan_fisioterapi is_watermark_null no extraction_type_rules possible full load,203,50,SQL Server,EMR,EMR_AMNT,dbo,Laporan_Pemeriksaan_Fisioterapi,,,,,No,2590.0,possible full load,
dataglossary_row_19_chunk_0,db_type sql server database_server_name emr source_system_database_name emr_amnt schema_name dbo source_table laporan_pemeriksaan_fisioterapi_2 is_watermark_null no extraction_type_rules possible full load,205,51,SQL Server,EMR,EMR_AMNT,dbo,Laporan_Pemeriksaan_Fisioterapi_2,,,,,No,0.0,possible full load,
dataglossary_row_20_chunk_0,db_type sql server database_server_name emr source_system_database_name emr_amnt schema_name dbo source_table laporan_pemeriksaan_gigi is_watermark_null no extraction_type_rules possible full load,196,49,SQL Server,EMR,EMR_AMNT,dbo,Laporan_Pemeriksaan_Gigi,,,,,No,2166.0,possible full load,
dataglossary_row_21_chunk_0,db_type sql server database_server_name emr source_system_database_name emr_amnt schema_name dbo source_table laporan_pemeriksaan_icd_10 is_watermark_null no extraction_type_rules possible full load,198,49,SQL Server,EMR,EMR_AMNT,dbo,Laporan_Pemeriksaan_Icd_10,,,,,No,30446.0,possible full load,
dataglossary_row_22_chunk_0,db_type sql server database_server_name emr source_system_database_name emr_amnt schema_name dbo source_table laporan_pemeriksaan_jantung is_watermark_null no extraction_type_rules possible full load,199,49,SQL Server,EMR,EMR_AMNT,dbo,Laporan_Pemeriksaan_Jantung,,,,,No,5789.0,possible full load,
dataglossary_row_23_chunk_0,db_type sql server database_server_name emr source_system_database_name emr_amnt schema_name dbo source_table laporan_pemeriksaan_jcs is_watermark_null no extraction_type_rules possible full load,195,48,SQL Server,EMR,EMR_AMNT,dbo,Laporan_Pemeriksaan_Jcs,,,,,No,5508.0,possible full load,
dataglossary_row_24_chunk_0,db_type sql server database_server_name emr source_system_database_name emr_amnt schema_name dbo source_table laporan_pemeriksaan_laboratorium is_watermark_null no extraction_type_rules possible full load,204,51,SQL Server,EMR,EMR_AMNT,dbo,Laporan_Pemeriksaan_Laboratorium,,,,,No,8808.0,possible full load,
dataglossary_row_25_chunk_0,db_type sql server database_server_name emr source_system_database_name emr_amnt schema_name dbo source_table laporan_pemeriksaan_mantoux is_watermark_null no extraction_type_rules possible full load,199,49,SQL Server,EMR,EMR_AMNT,dbo,Laporan_Pemeriksaan_Mantoux,,,,,No,4431.0,possible full load,
